id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
24318271,Go Slow Guesthouse - Quadruple Room,183469730,Rosaria,Belize,Belize Islands,17.74705,-88.02327,Private room,202,2,12,2024-01-14,0.15,1,7,1,
24351370,Modern 2 Bed at Embassy Apartment in Belize City,8554313,Ricky,Belize,Belize Mainland,17.51125,-88.21971,Entire home/apt,182,2,54,2024-11-06,0.67,15,223,27,
24511526,"The Chaos Oasis, the Morpho house",61238221,Alisa,Toledo,Toledo Mainland,16.28223,-88.95945,Private room,,1,0,,,2,0,0,
24545411,Best beach on the island!  Sleeps 5 - Great views!,185423538,Chuck & Gergana,Belize,Belize Islands,18.03456,-87.89538,Entire home/apt,491,3,26,2024-12-17,0.33,1,348,6,
24558067,Rainforest Cabin Getaway,44621173,Bobby,Cayo,Cayo,17.23106,-88.84524,Entire home/apt,151,2,4,2024-06-05,0.07,3,245,1,
24571109,Condo w/ Partial Sea View and Pool access #22,144478335,Brandon,Belize,Belize Islands,17.74335,-88.02261,Private room,232,1,37,2024-10-19,0.45,6,335,5,
24608441,Two Full Beds Poolside Deluxe,98004629,Sonia,Cayo,Cayo,17.14892,-89.08164,Private room,,1,3,2023-07-30,0.10,1,88,0,
24661863,SeaEsta @ TUTO a private family compound,186390923,George,Belize,Belize Islands,18.013093454302826,-87.9089310691671,Entire home/apt,706,3,119,2024-11-13,1.58,4,318,18,
24664327,SeaClusion @ TUTO a private family compound,186390923,George,Belize,Belize Islands,18.01312337004032,-87.90902918736239,Entire home/apt,706,3,115,2024-12-08,1.56,4,305,24,
24664595,SeaRenity @ TUTO a private family compound,186390923,George,Belize,Belize Islands,18.01304472822545,-87.90898639275152,Entire home/apt,706,3,106,2024-12-01,1.42,4,307,12,
24664731,SeaLaVie @ TUTO a private family compound,186390923,George,Belize,Belize Islands,18.01339653973268,-87.90901600005273,Entire home/apt,706,3,77,2024-12-11,1.04,4,312,17,
24678132,"Beachfront 4BR private pool, views!",1120393,Barbara,Belize,Belize Islands,17.88063,-87.99237,Entire home/apt,1009,3,23,2024-11-18,0.31,26,172,6,
24731179,"8BR on beach: private pool, views!",1120393,Barbara,Belize,Belize Islands,17.88073,-87.99236,Entire home/apt,2740,3,8,2024-04-30,0.12,26,172,1,
24748671,1 Bedroom Suite 2nd Floor at Lina Point,81705728,Rick,Belize,Belize Islands,17.93513,-87.95828,Private room,222,1,19,2024-07-31,0.24,4,306,2,
